"film_id","name_of_film","release_year","length","description","language","rental_rate"
614,"Name Detective",2006,178,"A Touching Saga of a Sumo Wrestler And a Cat who must Pursue a Mad Scientist in Nigeria","English             ","4.99"
248,"Dozen Lion",2006,177,"A Taut Drama of a Cat And a Girl who must Defeat a Frisbee in The Canadian Rockies","English             ","4.99"
871,"Sweden Shining",2006,176,"A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies","English             ","4.99"
61,"Beauty Grease",2006,175,"A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft","English             ","4.99"
255,"Driving Polish",2006,175,"A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft","English             ","4.99"
588,"Model Fish",2006,175,"A Beautiful Panorama of a Boat And a Crocodile who must Outrace a Dog in Australia","English             ","4.99"
472,"Italian African",2006,174,"A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat","English             ","4.99"
179,"Conquerer Nuts",2006,173,"A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft","English             ","4.99"
316,"Fire Wolves",2006,173,"A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria","English             ","4.99"
359,"Gladiator Westward",2006,173,"A Astounding Reflection of a Squirrel And a Sumo Wrestler who must Sink a Dentist in Ancient Japan","English             ","4.99"
938,"Velvet Terminator",2006,173,"A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park","English             ","4.99"
177,"Connecticut Tramp",2006,172,"A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank","English             ","4.99"
190,"Creepers Kane",2006,172,"A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat","English             ","4.99"
596,"Moonshine Cabin",2006,171,"A Thoughtful Display of a Astronaut And a Feminist who must Chase a Frisbee in A Jet Boat","English             ","4.99"
902,"Trading Pinocchio",2006,170,"A Emotional Character Study of a Student And a Explorer who must Discover a Frisbee in The First Manned Space Station","English             ","4.99"
265,"Dying Maker",2006,168,"A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California","English             ","4.99"
456,"Inch Jet",2006,167,"A Fateful Saga of a Womanizer And a Student who must Defeat a Butler in A Monastery","English             ","4.99"
725,"Requiem Tycoon",2006,167,"A Unbelieveable Character Study of a Cat And a Database Administrator who must Pursue a Teacher in A Monastery","English             ","4.99"
791,"Show Lord",2006,167,"A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan","English             ","4.99"
580,"Mine Titans",2006,166,"A Amazing Yarn of a Robot And a Womanizer who must Discover a Forensic Psychologist in Berlin","English             ","4.99"
211,"Darling Breaking",2006,165,"A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico","English             ","4.99"
563,"Massacre Usual",2006,165,"A Fateful Reflection of a Waitress And a Crocodile who must Challenge a Forensic Psychologist in California","English             ","4.99"
156,"Clerks Angels",2006,164,"A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon","English             ","4.99"
583,"Mission Zoolander",2006,164,"A Intrepid Story of a Sumo Wrestler And a Teacher who must Meet a A Shark in An Abandoned Fun House","English             ","4.99"
75,"Bird Independence",2006,163,"A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies","English             ","4.99"
124,"Casper Dragonfly",2006,163,"A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert","English             ","4.99"
500,"Kiss Glory",2006,163,"A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies","English             ","4.99"
706,"Queen Luke",2006,163,"A Astounding Story of a Girl And a Boy who must Challenge a Composer in New Orleans","English             ","4.99"
74,"Birch Antitrust",2006,162,"A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon","English             ","4.99"
745,"Roses Treasure",2006,162,"A Astounding Panorama of a Monkey And a Secret Agent who must Defeat a Woman in The First Manned Space Station","English             ","4.99"
100,"Brooklyn Desert",2006,161,"A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station","English             ","4.99"
202,"Daddy Pittsburgh",2006,161,"A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico","English             ","4.99"
961,"Wash Heavenly",2006,161,"A Awe-Inspiring Reflection of a Cat And a Pioneer who must Escape a Hunter in Ancient China","English             ","4.99"
451,"Igby Maker",2006,160,"A Epic Documentary of a Hunter And a Dog who must Outgun a Dog in A Baloon Factory","English             ","4.99"
691,"Poseidon Forever",2006,159,"A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery","English             ","4.99"
969,"West Lion",2006,159,"A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse","English             ","4.99"
310,"Fever Empire",2006,158,"A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico","English             ","4.99"
327,"Fool Mockingbird",2006,158,"A Lacklusture Tale of a Crocodile And a Composer who must Defeat a Madman in A U-Boat","English             ","4.99"
734,"Road Roxanne",2006,158,"A Boring Character Study of a Waitress And a Astronaut who must Fight a Crocodile in Ancient Japan","English             ","4.99"
777,"Secretary Rouge",2006,158,"A Action-Packed Panorama of a Mad Cow And a Composer who must Discover a Robot in A Baloon Factory","English             ","4.99"
661,"Past Suicides",2006,157,"A Intrepid Tale of a Madman And a Astronaut who must Challenge a Hunter in A Monastery","English             ","4.99"
278,"Elf Murder",2006,155,"A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft","English             ","4.99"
246,"Doubtfire Labyrinth",2006,154,"A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert","English             ","4.99"
263,"Durham Panky",2006,154,"A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft","English             ","4.99"
365,"Gold River",2006,154,"A Taut Documentary of a Database Administrator And a Waitress who must Reach a Mad Scientist in A Baloon Factory","English             ","4.99"
711,"Raging Airplane",2006,154,"A Astounding Display of a Secret Agent And a Technical Writer who must Escape a Mad Scientist in A Jet Boat","English             ","4.99"
47,"Baby Hall",2006,153,"A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft","English             ","4.99"
272,"Edge Kissing",2006,153,"A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat","English             ","4.99"
731,"Right Cranes",2006,153,"A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat","English             ","4.99"
749,"Rules Human",2006,153,"A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House","English             ","4.99"
131,"Center Dinosaur",2006,152,"A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California","English             ","4.99"
279,"Elizabeth Shane",2006,152,"A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan","English             ","4.99"
801,"Sister Freddy",2006,152,"A Stunning Saga of a Butler And a Woman who must Pursue a Explorer in Australia","English             ","4.99"
898,"Tourist Pelican",2006,152,"A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia","English             ","4.99"
918,"Twisted Pirates",2006,152,"A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention","English             ","4.99"
439,"Hunchback Impossible",2006,151,"A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan","English             ","4.99"
769,"School Jacket",2006,151,"A Intrepid Yarn of a Monkey And a Boy who must Fight a Composer in A Manhattan Penthouse","English             ","4.99"
13,"Ali Forever",2006,150,"A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies","English             ","4.99"
381,"Grinch Massage",2006,150,"A Intrepid Display of a Madman And a Feminist who must Pursue a Pioneer in The First Manned Space Station","English             ","4.99"
446,"Hysterical Grail",2006,150,"A Amazing Saga of a Madman And a Dentist who must Build a Car in A Manhattan Penthouse","English             ","4.99"
764,"Saturday Lambs",2006,150,"A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon","English             ","4.99"
579,"Minds Truman",2006,149,"A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery","English             ","4.99"
624,"Nightmare Chill",2006,149,"A Brilliant Display of a Robot And a Butler who must Fight a Waitress in An Abandoned Mine Shaft","English             ","4.99"
271,"Easy Gladiator",2006,148,"A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India","English             ","4.99"
324,"Flintstones Happiness",2006,148,"A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California","English             ","4.99"
648,"Outlaw Hanky",2006,148,"A Thoughtful Story of a Astronaut And a Composer who must Conquer a Dog in The Sahara Desert","English             ","4.99"
879,"Telegraph Voyage",2006,148,"A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat","English             ","4.99"
521,"Lies Treatment",2006,147,"A Fast-Paced Character Study of a Dentist And a Moose who must Defeat a Composer in The First Manned Space Station","English             ","4.99"
715,"Range Moonwalker",2006,147,"A Insightful Documentary of a Hunter And a Dentist who must Confront a Crocodile in A Baloon","English             ","4.99"
632,"Nuts Ties",2006,145,"A Thoughtful Drama of a Explorer And a Womanizer who must Meet a Teacher in California","English             ","4.99"
666,"Paycheck Wait",2006,145,"A Awe-Inspiring Reflection of a Boy And a Man who must Discover a Moose in The Sahara Desert","English             ","4.99"
739,"Rocky War",2006,145,"A Fast-Paced Display of a Squirrel And a Explorer who must Outgun a Mad Scientist in Nigeria","English             ","4.99"
941,"Videotape Arsenic",2006,145,"A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia","English             ","4.99"
508,"Lambs Cincinatti",2006,144,"A Insightful Story of a Man And a Feminist who must Fight a Composer in Australia","English             ","4.99"
695,"President Bang",2006,144,"A Fateful Panorama of a Technical Writer And a Moose who must Battle a Robot in Soviet Georgia","English             ","4.99"
946,"Virtual Spoilers",2006,144,"A Fateful Tale of a Database Administrator And a Squirrel who must Discover a Student in Soviet Georgia","English             ","4.99"
151,"Cincinatti Whisperer",2006,143,"A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin","English             ","4.99"
843,"Steel Santa",2006,143,"A Fast-Paced Yarn of a Composer And a Frisbee who must Face a Moose in Nigeria","English             ","4.99"
70,"Bikini Borrowers",2006,142,"A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station","English             ","4.99"
578,"Million Ace",2006,142,"A Brilliant Documentary of a Womanizer And a Squirrel who must Find a Technical Writer in The Sahara Desert","English             ","4.99"
501,"Kissing Dolls",2006,141,"A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station","English             ","4.99"
827,"Spice Sorority",2006,141,"A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft","English             ","4.99"
